sample_idx,true_label,adv_label,success,queries,l2_mag
0,0,8.0,True,24,45.67274856567383
1,0,,False,27,
2,0,9.0,True,24,44.57577896118164
3,0,2.0,True,24,44.9110221862793
4,0,5.0,True,24,44.0
5,0,5.0,True,24,45.98912811279297
6,0,4.0,True,24,44.9777717590332
7,0,8.0,True,24,203.0517120361328
8,0,5.0,True,24,45.033321380615234
9,0,3.0,True,24,86.20904541015625
10,0,5.0,True,24,341.4747314453125
11,0,8.0,True,24,566.78564453125
12,0,6.0,True,24,553.590087890625
13,0,,False,27,
14,0,5.0,True,24,335.740966796875
15,0,8.0,True,24,44.32831954956055
16,0,5.0,True,24,337.97039794921875
17,0,9.0,True,24,44.732540130615234
18,0,4.0,True,24,45.15528869628906
19,0,6.0,True,24,44.1927604675293
20,0,4.0,True,24,578.3977661132812
21,0,2.0,True,24,44.339599609375
22,0,6.0,True,25,1008.6079711914062
23,0,9.0,True,24,45.56314468383789
24,0,4.0,True,24,44.855323791503906
25,0,9.0,True,24,45.022216796875
26,0,8.0,True,24,334.4024658203125
27,0,9.0,True,24,44.10215377807617
28,0,5.0,True,24,196.81463623046875
29,0,8.0,True,24,530.4554443359375
30,0,8.0,True,24,44.530887603759766
31,0,2.0,True,24,45.727455139160156
32,0,2.0,True,24,45.166358947753906
33,0,9.0,True,25,43.863426208496094
34,0,5.0,True,24,340.1720275878906
35,0,5.0,True,24,339.3876953125
36,0,3.0,True,24,45.628936767578125
37,0,9.0,True,24,44.67661666870117
38,0,6.0,True,25,992.9552001953125
39,0,,False,27,
40,0,9.0,True,24,45.51922607421875
41,0,6.0,True,25,1011.6383056640625
42,0,5.0,True,24,334.5743713378906
43,0,2.0,True,24,198.66050720214844
44,0,8.0,True,24,44.339599609375
45,0,6.0,True,24,45.2658805847168
46,0,8.0,True,24,45.49725341796875
47,0,3.0,True,24,45.15528869628906
48,0,9.0,True,24,45.55216979980469
49,0,,False,6,
50,1,8.0,True,24,88.89881896972656
51,1,6.0,True,24,45.033321380615234
52,1,3.0,True,24,112.91590118408203
53,1,3.0,True,24,294.20062255859375
54,1,9.0,True,24,558.9141235351562
55,1,9.0,True,24,110.56671905517578
