sample_idx,true_label,adv_label,success,queries,l2_mag
0,0,,False,6,
1,0,,False,6,
2,0,,False,6,
3,0,,False,6,
4,0,6.0,True,26,1198.7818603515625
5,0,,False,6,
6,0,,False,6,
7,0,,False,6,
8,0,,False,6,
9,0,,False,6,
10,0,,False,6,
11,0,,False,6,
12,0,,False,6,
13,0,,False,6,
14,0,,False,6,
15,0,,False,6,
16,0,,False,27,
17,0,,False,6,
18,0,,False,6,
19,0,,False,6,
20,0,,False,6,
21,0,,False,6,
22,0,,False,6,
23,0,,False,6,
24,0,,False,6,
25,0,,False,6,
26,0,,False,6,
27,0,2.0,True,24,352.3350830078125
28,0,6.0,True,24,154.86122131347656
29,0,,False,6,
30,0,,False,6,
31,0,,False,6,
32,0,,False,6,
33,0,,False,6,
34,0,,False,6,
35,0,,False,6,
36,0,,False,6,
37,0,,False,6,
38,0,,False,6,
39,0,,False,6,
40,0,,False,6,
41,0,,False,6,
42,0,,False,6,
43,0,,False,27,
44,0,,False,6,
45,0,,False,6,
46,0,,False,6,
47,0,,False,6,
48,0,,False,6,
49,0,,False,6,
50,1,,False,6,
51,1,,False,6,
52,1,,False,6,
53,1,,False,27,
54,1,,False,25,
55,1,,False,6,
56,1,,False,6,
57,1,,False,6,
58,1,,False,6,
59,1,,False,6,
60,1,,False,6,
61,1,,False,6,
62,1,,False,6,
63,1,,False,6,
64,1,,False,6,
65,1,,False,6,
66,1,,False,27,
67,1,,False,6,
68,1,,False,6,
69,1,,False,6,
70,1,,False,6,
71,1,,False,27,
72,1,,False,6,
73,1,,False,6,
74,1,,False,27,
75,1,,False,6,
76,1,,False,6,
77,1,,False,6,
78,1,,False,6,
79,1,,False,6,
80,1,,False,6,
81,1,,False,27,
82,1,,False,6,
83,1,,False,6,
84,1,,False,6,
85,1,,False,6,
86,1,,False,6,
87,1,,False,6,
88,1,,False,6,
89,1,,False,6,
90,1,,False,6,
91,1,,False,6,
92,1,,False,6,
93,1,,False,6,
94,1,,False,6,
95,1,,False,6,
96,1,,False,6,
97,1,,False,6,
98,1,,False,6,
99,1,,False,27,
100,2,,False,6,
101,2,,False,6,
102,2,,False,6,
103,2,,False,6,
104,2,,False,6,
105,2,,False,6,
106,2,,False,6,
107,2,,False,6,
108,2,,False,6,
109,2,,False,6,
110,2,,False,6,
111,2,,False,6,
112,2,,False,6,
113,2,,False,6,
114,2,,False,6,
115,2,,False,6,
116,2,,False,6,
117,2,,False,6,
118,2,,False,27,
119,2,,False,6,
120,2,,False,6,
121,2,,False,6,
122,2,,False,6,
123,2,,False,6,
124,2,,False,6,
125,2,,False,6,
126,2,,False,6,
127,2,,False,6,
128,2,,False,6,
129,2,,False,6,
130,2,,False,6,
131,2,,False,27,
132,2,,False,6,
133,2,,False,6,
134,2,,False,6,
135,2,,False,6,
136,2,,False,6,
137,2,,False,6,
138,2,,False,6,
139,2,,False,6,
140,2,,False,6,
141,2,,False,6,
142,2,,False,6,
143,2,,False,6,
144,2,,False,27,
145,2,,False,27,
146,2,,False,6,
147,2,,False,6,
148,2,,False,6,
149,2,3.0,True,25,588.98388671875
150,3,,False,6,
151,3,,False,6,
152,3,,False,26,
153,3,,False,6,
154,3,,False,6,
155,3,,False,6,
156,3,,False,6,
157,3,,False,6,
158,3,,False,6,
159,3,,False,27,
160,3,,False,6,
161,3,,False,26,
162,3,,False,6,
163,3,,False,6,
164,3,,False,6,
165,3,,False,6,
166,3,,False,6,
167,3,,False,6,
168,3,,False,6,
169,3,,False,6,
170,3,,False,6,
171,3,,False,6,
