sample_idx,true_label,adv_label,success,queries,l2_mag
0,0,,False,10,
1,0,,False,10,
2,0,5.0,True,11,1482.7457275390625
3,0,,False,11,
4,0,2.0,True,10,722.2471923828125
5,0,,False,10,
6,0,,False,11,
7,0,8.0,True,11,1354.8690185546875
8,0,6.0,True,11,1494.685546875
9,0,8.0,True,10,1076.226318359375
10,0,,False,11,
11,0,6.0,True,11,1460.2205810546875
12,0,2.0,True,11,1273.8045654296875
13,0,,False,11,
14,0,,False,11,
15,0,,False,11,
16,0,6.0,True,10,984.7710571289062
17,0,,False,10,
18,0,,False,11,
19,0,6.0,True,11,1371.2264404296875
20,0,,False,10,
21,0,2.0,True,11,1436.958251953125
22,0,,False,12,
23,0,9.0,True,11,1469.8370361328125
24,0,,False,12,
25,0,,False,12,
26,0,9.0,True,10,1047.7943115234375
27,0,2.0,True,10,1023.5115966796875
28,0,6.0,True,10,787.77978515625
29,0,,False,10,
30,0,2.0,True,11,1530.1492919921875
31,0,,False,11,
32,0,,False,11,
33,0,2.0,True,11,1515.236328125
34,0,,False,11,
35,0,5.0,True,11,1508.9920654296875
36,0,,False,11,
37,0,,False,11,
38,0,,False,11,
39,0,,False,10,
40,0,,False,11,
41,0,,False,11,
42,0,2.0,True,11,1488.57177734375
43,0,,False,10,
44,0,,False,10,
45,0,,False,11,
46,0,,False,11,
47,0,,False,10,
48,0,,False,12,
49,0,,False,6,
50,1,,False,11,
51,1,,False,10,
52,1,2.0,True,11,1407.914794921875
53,1,,False,10,
54,1,9.0,True,10,736.5819702148438
55,1,,False,12,
56,1,,False,11,
57,1,,False,11,
58,1,2.0,True,10,1170.89111328125
59,1,2.0,True,11,1354.7933349609375
60,1,8.0,True,11,1532.9637451171875
61,1,8.0,True,10,1052.4647216796875
62,1,2.0,True,11,1207.263427734375
63,1,2.0,True,11,1471.81689453125
64,1,2.0,True,11,1355.0184326171875
65,1,,False,10,
66,1,2.0,True,11,1530.56103515625
67,1,,False,11,
68,1,2.0,True,11,1473.636962890625
69,1,,False,10,
70,1,2.0,True,11,1398.37548828125
71,1,,False,10,
72,1,,False,10,
73,1,2.0,True,11,1512.1629638671875
74,1,2.0,True,11,1361.836669921875
75,1,,False,10,
76,1,2.0,True,11,1471.0020751953125
77,1,,False,11,
78,1,3.0,True,11,1468.365478515625
79,1,,False,10,
80,1,,False,11,
81,1,2.0,True,10,943.3101196289062
82,1,,False,11,
